,,P1,The woman smirks,mp,381834148,,,,,,,,,
,,P2,The woman wakes,mp,51780655,,,,,,,,,
,,P3,The woman walks,close,469418832,,,,,,,,,
,,S1,The woman relaxes,assoc,311038037,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The woman sleeps,un,233185360,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
63,bleed,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man bleeds,target,313964276,F1_Verb_intransitive_55,,M3_Verb_intransitive_55,,,5,6,1,
,,P1,The man blends,close,38668822,,,,,,,,,
,,P2,The man kneads,mp,261246989,,,,,,,,,
,,P3,The man reads,mp,37118861,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The man chops,un,10681814,,,,,,,,,
,,Un,The man irons,un,306279242,,,,,,,,,
,,,,,,,,,,,,,,
66,weed,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man weeds,target,192369584,F1_Verb_intransitive_58,,M3_Verb_intransitive_58,,,3,4,1,
,,P1,the man reads,mp,37118861,,,,,,,,,
,,P2,the man bleeds,mp,313964276,,,,,,,,,
,,P3,the man kneads,mp,261246989,,,,,,,,,
,,S1,the man prunes,assoc,287707931,,,,,,,,,
,,S2,the man mows,assoc,35865163,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
68,dive,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man dives,target,96072599,F1_Verb_intransitive_60,,M3_Verb_intransitive_60,,,4,6,1,
,,P1,The man drives,mp,331319549,,,,,,,,,
,,P2,The man dines,mp,145639915,,,,,,,,,
,,P3,The man dries,distant,236457589,,,,,,,,,
,,S1,The man swims,assoc,142342759,,,,,,,,,
,,S2,The man jumps,coord,74528317,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
71,mix,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man mixes,target,335752910,F1_Verb_intransitive_63,,M3_Verb_intransitive_63,,,5,5,2,
,,P1,the man fixes,mp,94503190,,,,,,,,,
,,P2,the man misses,mp,150919676,,,,,,,,,
