2,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,water,Target,their water is refreshing,target,265464623,F1_Pronoun_posssentence_26,,M3_Pronoun_posssentence_26,,,8,8,2,
,,Foil 1,his water is refreshing,male,40568100,,,,,,,,,
,,Foil 2,her water is refreshing,female,42316112,,,,,,,,,
,,other,water,un,12522351,,,,,,,,,
,,other,waterfall,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,bug,Target,their bug is horrid,target,16531051,F1_Pronoun_posssentence_27,,M3_Pronoun_posssentence_27,,,7,8,1,
,,Foil 1,his bug is horrid,male,107912372,,,,,,,,,
,,Foil 2,her bug is horrid,female,209183563,,,,,,,,,
,,other,horrid bug,un,49532590,,,,,,,,,
,,other,lovely bug,un,172181477,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,hat,Target,their hat is warm,target,118708237,F1_Pronoun_posssentence_28,,,,,8,8,1,
,,Foil 1,his hat is warm,male,28666396,,,,,,,,,
,,Foil 2,her hat is warm,female,125317343,,,,,,,,,
,,other,the hat is warm,un,29252820,,,,,,,,,
,,other,the crown is warm,un,37385332,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,grandchild,Target,their grandchild is healthy,target,280360607,F1_Pronoun_posssentence_29,,M3_Pronoun_posssentence_29,,,5,6,2,
,,Foil 1,his grandchild is healthy,male,293835122,,,,,,,,,
,,Foil 2,her grandchild is healthy,female,200417396,,,,,,,,,
,,other,grandchild healthy,un,17985635,,,,,,,,,
,,other,rocking chair,un,3436172,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,brush,Target,their brush is soft,target,250769230,F1_Pronoun_posssentence_30,,M3_Pronoun_posssentence_30,,,7,8,1,
,,Foil 1,his brush is soft,male,290631104,,,,,,,,,
,,Foil 2,her brush is soft,female,268385192,,,,,,,,,
,,other,brush,un,29554881,,,,,,,,,
,,other,comb,un,207145168,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,dog,Target,their dog  is friendly,target,25118204,F1_Pronoun_posssentence_31,,M3_Pronoun_posssentence_31,,,8,8,1,
,,Foil 1,his dog is friendly,male,291064715,,,,,,,,,
,,Foil 2,her dog  is friendly,female,31857694,,,,,,,,,
,,other,dog,un,104241857,,,,,,,,,
,,other,dog,un,175510841,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,bag,Target,their bag is useful,target,152086250,F1_Pronoun_posssentence_32,,M3_Pronoun_posssentence_32,,,8,8,1,
,,Foil 1,his bag is useful,male,54626915,,,,,,,,,
,,Foil 2,her bag is useful,female,32278607,,,,,,,,,
,,other,bag,un,92516332,,,,,,,,,
,,other,bag,un,6355906,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,icecream,Target,their icecream  is delicious,target,121977184,,F2_Pronoun_posssentence_33,M3_Pronoun_posssentence_33,,,2,6,2,
,,Foil 1,his icecream is delicious,male,285189374,,,,,,,,,
,,Foil 2,her icecream  is delicious,female,103353431,,,,,,,,,
,,other,icecream,un,115520299,,,,,,,,,
,,other,ice lolly,un,289592339,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,tissue,Target,their tissue is wet,target,331056320,,,M3_Pronoun_posssentence_34,,,6,8,2,
,,Foil 1,his tissue is wet,male,47099760,,,,,,,,,
,,Foil 2,her tissue is wet,female,29925193,,,,,,,,,
,,Foil 3,tissue,un,140848453,,,,,,,,,
,,un,toilet roll,un,36214166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,child,Target,their child is young,target,205039681,,F2_Pronoun_posssentence_35,M3_Pronoun_posssentence_35,,,8,8,2,
,,Foil 1,his child is young,male,42635120,,,,,,,,,
,,Foil 2,her child is young,female,20327430,,,,,,,,,
,,other,child is young,un,298044821,,,,,,,,,
,,other,child is young,un,125834756,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,cup,Target,their cup is huge,target,195169763,,F2_Pronoun_posssentence_36,M3_Pronoun_posssentence_36,,,6,8,1,
,,Foil 1,his cup is huge,male,45209191,,,,,,,,,
,,Foil 2,her cup is huge,female,79587922,,,,,,,,,
,,other,huge cup,un,209171185,,,,,,,,,
,,other,small cup,un,61468480,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
