,,Target,the girl is on the dog,target,125585768,,M1_Preposition_sentence_64,,,,5,2,1,
,,Foil 1,the girl is by the dog,foil 1,152951474,,,,,,,,,
,,Foil 2,the girl is behind the dog,foil 2,284147363,,,,,,,,,
,,Foil 3,the girl is under the dog,foil 3,322437035,,,,,,,,,
,,Other,the girl is by the dog,other,242797159,,,,,,,,,
,,Other,the girl is by the dog,other,88335778,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is under the blanket,target,35281393,F2_Preposition_sentence_20,,M3_Preposition_sentence_20,,,5,2,2,
,,Foil 1,on the blanket,foil 1,30182797,,,,,,,,,
,,Foil 2,in the blanket,foil 2,10203010,,,,,,,,,
,,Foil 3,by the blanket,foil 3,69546235,,,,,,,,,
,,Other,blanket,other,30970388,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is under the bed,target,42172919,F2_Preposition_sentence_21,,M3_Preposition_sentence_21,,,5,2,2,
,,Foil 1,in the bed,foil 1,23267043,,,,,,,,,
,,Foil 2,on the bed,foil 2,24813255,,,,,,,,,
,,Foil 3,by the bed,foil 3,94578602,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is under the tree,target,29762175,F2_Preposition_sentence_22,,M3_Preposition_sentence_22,,,5,2,2,
,,Foil 1,on the tree,foil 1,36970893,,,,,,,,,
,,Foil 2,in the tree,foil 2,92161054,,,,,,,,,
,,Foil 3,between the trees,foil 3,659865421,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
