,,,,,,,,,,,,,,,,,,
17,gun,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,gun,target,297191459,,,M2_Noun_single_1syll_189,F1_Noun_single_1syll_189,,7,7,1,,,,,
,,P1,bun,mp,255437584,,,,,,,,,,,,,
,,P2,sun,mp,11111,,,,,,,,,,,,,
,,P3,run,mp,11668575,,,,,,,,,,,,,
,,S1,police woman,assoc,5401774,,,,,,,,,,,,,
,,S2,knife,coord,22159341,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
18,lamb,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,lamb,target,99703931,,,M2_Noun_single_1syll_190,F1_Noun_single_1syll_190,,7,7,1,,,,,
,,P1,jam,mp,134500634,,,,,,,,,,,,,
,,P2,dam,mp,113655994,,,,,,,,,,,,,
,,P3,tram,mp,93781645,,,,,,,,,,,,,
,,S1,calf,assoc,129933092,,,,,,,,,,,,,
,,S2,piglet,assoc,301031825,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,screen,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,screen,target,234158740,,,M2_Noun_single_1syll_191,F1_Noun_single_1syll_191,,7,7,1,,,,,
,,P1,scream,mp,29662705,,,,,,,,,,,,,
,,P2,scene,mp,149938298,,,,,,,,,,,,,
,,P3,cream,close,3232937,,,,,,,,,,,,,
,,S1,keyboard,assoc,222047851,,,,,,,,,,,,,
,,S2,film,assoc,101597905,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,note,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,note,target,13298068,,,M2_Noun_single_1syll_192,F1_Noun_single_1syll_192,,7,7,1,,,,,
,,P1,boat,mp,242000377,,,,,,,,,,,,,
,,P2,goat,mp,283711718,,,,,,,,,,,,,
,,P3,coat,mp,282882188,,,,,,,,,,,,,
,,S1,laptop,assoc,53715597,,,,,,,,,,,,,
,,S2,book,assoc,96598565,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21,sheep,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,sheep,target,54959410,,,M2_Noun_single_1syll_193,F1_Noun_single_1syll_193,,7,7,1,,,,,
,,P1,sheet,mp,6510816,,,,,,,,,,,,,
,,P2,shop,mp,36599685,,,,,,,,,,,,,
,,P3,ship,mp,154107677,,,,,,,,,,,,,
,,S1,goat,coord,283711718,,,,,,,,,,,,,
,,S2,cow,coord,4114507999,,,,,,,,,,,,,
